query_id,bm25_ms,knn_ms,fusion_ms,rerank_ms,total_ms
Q001,27.539958000000198,22.547166999999035,0.024666999999922723,3748.991041,3799.1028329999995
Q002,31.265084000001053,11.225209000000902,0.014791999999985705,3311.6401250000004,3354.1452100000024
Q003,192.7141250000002,13.30129199999952,0.02166699999861521,3599.936375,3805.9734589999985
Q004,21.15991699999853,9.513916999999594,0.012958999999312937,3632.9647079999995,3663.651500999997
Q005,23.756709000000598,16.285541999998543,0.017292000002555596,3350.7685830000005,3390.828126000002
Q006,15.262708000001624,10.073500000000735,0.01570799999939254,3467.957166999998,3493.309083
Q007,62.63483300000061,11.859540999999751,0.023292000001617907,3379.380625000003,3453.898291000005
Q008,9.766665999997315,11.299125000000743,0.016333999994344595,3427.0244999999945,3448.1066249999867
Q009,28.25683300000037,12.938333000001023,0.0158340000027124,3260.5423329999967,3301.7533330000006
Q010,7.45741699999769,9.490457999994817,0.01279199999970615,3347.031707999996,3363.992374999988
Q011,17.43774999999914,13.794875000002094,0.01458399999876292,3379.8119169999977,3411.059125999998
Q012,7.385375000005467,8.638249999997072,0.012208000001123764,3350.5697920000016,3366.605625000005
Q013,18.095542000004627,9.759791999996992,0.014458999999078515,3315.3626669999953,3343.232459999996
Q014,9.50391699999642,8.740166999999133,0.014292000003024441,3333.7810419999983,3352.0394179999967
Q015,15.58574999999962,8.893667000002381,0.021374999995771304,3631.133208999998,3655.634000999996
