query_id,bm25_ms,knn_ms,fusion_ms,rerank_ms,total_ms
Q000001,61.98808299999925,26.093916999998967,0.0522079999996094,23704.473541,23792.607749
Q000002,26.179874999996855,19.20204099999978,0.0498749999948699,4257.614000000004,4303.045790999996
Q000003,23.313000000001693,17.90804099999832,0.0389169999976957,4347.510667000001,4388.770624999999
Q000004,28.75308400000165,28.156499999994367,0.0469169999988139,4402.835291999999,4459.791792999994
Q000005,20.99987500000111,19.41308300000344,0.0413749999950141,4148.721250000001,4189.175583000001
Q000006,18.518790999998203,18.14133299999554,0.0539579999951911,4443.347457999998,4480.061539999987
Q000007,26.285500000000184,20.685666000005657,0.0429580000016471,3944.2719580000016,3991.286082000009
Q000008,22.540458000001703,18.860834000001603,0.0436250000035443,3962.4426250000015,4003.8875420000086
Q000009,20.1001670000025,18.045499999999493,0.0493749999961323,3944.155292000005,3982.350334000003
Q000010,22.01637500000686,20.2737500000012,0.0434589999969148,4474.008874999996,4516.342459000001
Q000011,26.143541000010373,19.45550000000651,0.04120799999896,4292.708917000013,4338.349166000028
Q000012,21.21108299999719,19.78166700000372,0.0427079999951729,4285.741582999989,4326.777040999985
Q000013,24.44520799998884,20.93087499999058,0.0514159999909225,4020.5114580000018,4065.938956999972
Q000014,26.69137499999863,24.05170800000178,0.0463749999966012,4071.4163339999914,4122.205791999988
Q000015,19.098041999995985,18.28416700000446,0.0424999999921738,4187.366874999995,4224.791583999988
Q000016,20.17066700000214,18.78358300000116,0.0430000000051222,3907.349416999992,3946.346667
Q000017,18.59766600000512,18.63858299999777,0.043250000004491,4061.101417000003,4098.380916000011
Q000018,19.731707999994796,19.611832999999024,0.043250000004491,4113.111625000002,4152.498416
Q000019,24.089625000002,19.600374999996006,0.0430829999942261,4471.313000000009,4515.046083000001
Q000020,27.417083999992546,20.301916999997616,0.057834000003254,4156.978000000009,4204.7548350000025
Q000021,29.391958000005047,20.958792000001836,0.0582919999914111,4232.19125,4282.600291999998
Q000022,20.045832999997515,19.1025409999952,0.0425000000063846,4414.8902499999995,4454.081123999998
Q000023,20.956458000000566,18.06783400000711,0.0414999999946985,4022.624917000002,4061.690709000004
Q000024,20.74616700001286,19.263250000008725,0.0498750000019754,4606.969833000008,4647.029125000032
Q000025,30.238749999995207,22.34083400000486,0.0542079999945599,4123.13716700001,4175.770959000005
Q000026,23.630832999998574,23.922957999985783,0.0473329999977067,4137.289082999985,4184.890206999968
Q000027,22.118958999982397,19.69058299999915,0.0440409999953317,4041.482916999996,4083.336499999973
Q000028,20.617749999985335,17.729750000000877,0.0587919999759378,4039.3268750000007,4077.733166999963
Q000029,21.715416999995796,19.50270800000453,0.0421670000037011,4130.437625000013,4171.697917000018
Q000030,21.026291999987738,20.410916999992423,0.0475420000043413,4723.706874999976,4765.191625999961
Q000031,29.8560420000058,29.54733400000009,0.0644170000043686,4177.169416999987,4236.637209999997
Q000032,24.344667000008258,21.534542000011925,0.0469160000022839,4342.573499999986,4388.499625000009
Q000033,17.822667000018555,21.099583999983903,0.0440830000059122,3959.987583000014,3998.953917000023
Q000034,24.382457999990947,20.77612499999759,0.0475839999865002,4722.27162499999,4767.477791999965
