query_id,bm25_ms,knn_ms,fusion_ms,rerank_ms,total_ms
Q000001,74.94866700000014,31.6022079999998,0.030833000000285438,3578.1890830000007,3684.770791000001
Q000002,30.72912500000058,20.006666999998757,0.025707999999013964,3633.344333,3684.1058329999983
Q000003,27.131166000000206,19.830999999999932,0.027833999999060666,4058.0487079999975,4105.038707999996
Q000004,20.626500000002324,14.746041999998738,0.030750000000523414,3953.3160000000007,3988.7192920000025
Q000005,23.07349999999886,21.105667000000494,0.028374999999414285,3838.8638749999977,3883.0714169999965
Q000006,20.65199999999834,13.303958000001614,0.029749999999495458,3794.8572499999996,3828.842957999999
Q000007,27.405458000000493,13.457958000000048,0.02487500000114551,3698.3472499999975,3739.235540999999
Q000008,23.975124999999764,18.05041700000487,0.0327499999954739,3437.9069169999993,3479.9652089999995
Q000009,17.50229099999956,13.538791000001993,0.029167000000995813,3566.1904580000014,3597.260707000004
Q000010,21.241332999998974,15.032249999997305,0.027791999997361927,3816.6106250000025,3852.911999999996
Q000011,25.627040999999906,13.674207999997634,0.027665999994042068,3424.033250000001,3463.3621649999923
Q000012,16.752500000002613,14.19937500000401,0.028333000003044617,3595.8206670000054,3626.800875000015
Q000013,24.602958000002673,12.369249999998999,0.026332999993883277,3469.532542000003,3506.5310829999985
Q000014,21.77945800000458,15.346250000000339,0.02529200000367382,3375.195624999996,3412.3466250000047
Q000015,18.43124999999901,14.04875000000061,0.032250000003841706,3372.9413329999998,3405.453583000003
Q000016,18.045291999996493,16.537833000001,0.029584000003524125,3458.755625000002,3493.368334000003
Q000017,22.777583000006985,12.814083999998616,0.02987499999562715,3467.713500000002,3503.3350420000033
Q000018,16.114666000007105,13.028583000007643,0.02883300000178224,3647.3337919999976,3676.505874000014
Q000019,21.257625000004055,14.282958000009671,0.030459000001314962,3568.375959000008,3603.947001000023
Q000020,22.277375000001598,13.440166999998837,0.028041999996730738,3476.3447910000023,3512.0903749999993
Q000021,14.104000000003225,14.286708000000203,0.026750000003517016,3403.6652919999997,3432.082750000007
Q000022,23.820083000003933,14.653959000000327,0.031874999990577635,3372.710791000003,3411.216707999998
Q000023,19.254541999998764,14.620084000000588,0.03295899999500307,3589.436957999993,3623.3445429999874
Q000024,15.083917000012548,12.160457999996765,0.02824999999972988,3608.536333999993,3635.8089590000022
Q000025,27.736916999998584,14.212500000013506,0.024041999992618912,3426.2674170000055,3468.2408760000103
Q000026,24.814875000004122,14.282917000002726,0.025250000007304152,3540.2827499999885,3579.4057920000027
Q000027,13.661541999994142,12.126165999987393,0.023749999996880433,3438.8868329999978,3464.698290999976
Q000028,14.990291999993133,12.580791000004865,0.02654099999688242,3465.0630000000006,3492.6606239999956
Q000029,13.955665999986877,12.292874999999981,0.02687500000320142,3504.374041999995,3530.649457999985
Q000030,15.459208999999419,12.900082999991014,0.03154099999846949,3946.5834169999994,3974.9742499999884
Q000031,23.246541000006005,12.961416999999642,0.02824999999972988,3632.6660419999967,3668.902250000002
Q000032,19.78549999999757,13.169417000000294,0.02433299999893279,3633.258584000004,3666.2378340000005
Q000033,14.665708000009658,12.31366599999717,0.028041999996730738,3511.767375000005,3538.7747910000085
Q000034,24.031207999996695,13.864624999996522,0.03145799999515475,3706.9142079999865,3744.8414989999746
Q000035,31.620500000002494,21.096959000004745,0.038999999986799594,3854.432166999999,3907.188625999993
Q000036,27.522250000004078,15.516875000002983,0.031000000006997652,3570.680125000024,3613.7502500000382
Q000037,15.473541000005753,14.30562499999155,0.030167000005576483,3865.449708,3895.259041000003
Q000038,20.210165999998253,15.166208000010784,0.030333000012205957,3956.139417000003,3991.546124000024
Q000039,30.913666999992984,15.70125000000644,0.025332999996408034,3546.596332999997,3593.2365829999926
Q000040,26.316041000001178,17.0831249999992,0.03362499998615931,4111.328708000002,4154.761498999988
Q000041,21.479583000001412,16.61387499999023,0.030083000012837147,4364.828042000027,4402.951583000032
Q000042,26.173333000002685,14.825374999986707,0.03970899999217181,3602.15525000001,3643.1936669999914
Q000043,12.790125000009311,12.325207999992926,0.02612500000509499,3540.5007089999854,3565.6421669999927
Q000044,14.266625000004751,13.622374999982867,0.024707999983775153,3556.6365829999995,3584.550290999971
Q000045,24.050417000012203,43.85654200001454,0.04225000000701584,3612.147125000007,3680.0963340000408
Q000046,23.196124999998347,17.300666000011233,0.03737500000511318,4057.3579579999832,4097.892123999998
Q000047,45.43816599999673,16.78050000001008,0.03204199998663171,3868.608084000016,3930.858792000009
Q000048,13.205499999997983,11.979332999999315,0.02420800001345924,3617.968624999975,3643.177665999986
Q000049,20.71641599999907,13.668166999991627,0.026292000001149063,3596.3988750000053,3630.809749999997
Q000050,22.773499999999558,14.905666000004203,0.03254099999594473,3642.5067080000135,3680.218415000013
Q000051,12.505542000013747,12.622625000005883,0.028624999998783096,3656.362291999983,3681.5190840000014
Q000052,21.462458000002016,13.031249999983174,0.025458999999727894,3742.790874999997,3777.310041999982
Q000053,20.07116699999756,14.693166999990126,0.03341599997952471,3722.7116669999987,3757.5094169999657
Q000054,24.401124999997137,15.95391699999027,0.04174999997985651,3429.339916999993,3469.7367089999602
Q000055,20.115167000000156,16.148291000007475,0.0333749999867905,3630.7081249999837,3667.004957999978
Q000056,19.140708000009,16.130083999996714,0.030874999993102392,4348.30199999999,4383.6036669999885
Q000057,12.53658300001348,14.624333000000433,0.02695800000651616,3595.633541000012,3622.821415000032
Q000058,21.343207999990454,13.82024999998066,0.024959000000990272,3508.9129170000033,3544.1013339999754
